KatID,OberKatID,Name,Rabatt,Von,Bis,Festlegung
G,,Gemüse,6.00,15.12.2024,14.01.2025,02.01.2025
G,,Gemüse,3.00,15.01.2025,17.01.2025,02.01.2025
GMi,G,Mittelzehrer,1.00,15.12.2024,15.01.2025,02.01.2025
GMi,G,Mittelzehrer,3.00,16.01.2025,21.01.2025,02.01.2025
GMiAMARANTH ,GMi,Amaranth ,5.00,15.12.2024,14.01.2025,02.01.2025
GMiAMARANTH ,GMi,Amaranth ,8.00,15.01.2025,27.01.2025,02.01.2025
GMiBETE ,GMi,Bete ,8.00,15.12.2024,14.01.2025,02.01.2025
GMiBETE ,GMi,Bete ,7.00,15.01.2025,19.01.2025,02.01.2025
GMiCHILI ,GMi,Chili ,5.00,15.12.2024,14.01.2025,02.01.2025
GMiCHILI ,GMi,Chili ,8.00,15.01.2025,28.01.2025,02.01.2025
GMiFENCHEL ,GMi,Fenchel ,10.00,15.12.2024,14.01.2025,02.01.2025
GMiFENCHEL ,GMi,Fenchel ,9.00,15.01.2025,25.01.2025,02.01.2025
GMiKOHLRABI ,GMi,Kohlrabi ,1.00,15.12.2024,14.01.2025,02.01.2025
GMiKOHLRABI ,GMi,Kohlrabi ,3.00,15.01.2025,22.01.2025,02.01.2025
GMiLAUCHZWIEBEL ,GMi,Lauchzwiebel ,7.00,15.12.2024,14.01.2025,02.01.2025
GMiLAUCHZWIEBEL ,GMi,Lauchzwiebel ,4.00,15.01.2025,16.01.2025,02.01.2025
GMiMANGOLD ,GMi,Mangold ,6.00,15.12.2024,15.01.2025,02.01.2025
GMiMANGOLD ,GMi,Mangold ,4.00,16.01.2025,28.01.2025,02.01.2025
GMiMÖHRE ,GMi,Möhre ,1.00,15.12.2024,14.01.2025,02.01.2025
GMiMÖHRE ,GMi,Möhre ,6.00,15.01.2025,21.01.2025,02.01.2025
GMiPAPRIKA ,GMi,Paprika ,2.00,15.12.2024,14.01.2025,02.01.2025
GMiPAPRIKA ,GMi,Paprika ,2.00,15.01.2025,31.01.2025,02.01.2025
GMiPASTINAKE ,GMi,Pastinake ,4.00,15.12.2024,14.01.2025,02.01.2025
GMiPASTINAKE ,GMi,Pastinake ,5.00,15.01.2025,24.01.2025,02.01.2025
GMiPFEFFERONI ,GMi,Pfefferoni ,1.00,15.12.2024,15.01.2025,02.01.2025
GMiPFEFFERONI ,GMi,Pfefferoni ,6.00,16.01.2025,17.01.2025,02.01.2025
GMiRETTICH ,GMi,Rettich ,5.00,15.12.2024,14.01.2025,02.01.2025
GMiRETTICH ,GMi,Rettich ,9.00,15.01.2025,19.01.2025,02.01.2025
GMiSALAT ,GMi,Salat ,2.00,15.12.2024,14.01.2025,02.01.2025
GMiSALAT ,GMi,Salat ,4.00,15.01.2025,26.01.2025,02.01.2025
GMiSCHWARZWURZEL ,GMi,Schwarzwurzel ,6.00,15.12.2024,14.01.2025,02.01.2025
GMiSCHWARZWURZEL ,GMi,Schwarzwurzel ,5.00,15.01.2025,20.01.2025,02.01.2025
GMiSPINAT ,GMi,Spinat ,8.00,15.12.2024,14.01.2025,02.01.2025
GMiSPINAT ,GMi,Spinat ,1.00,15.01.2025,22.01.2025,02.01.2025
GSc,G,Schwachzehrer,6.00,15.12.2024,14.01.2025,02.01.2025
GSc,G,Schwachzehrer,9.00,15.01.2025,29.01.2025,02.01.2025
GScBOHNE ,GSc,Bohne ,10.00,15.12.2024,14.01.2025,02.01.2025
GScBOHNE ,GSc,Bohne ,6.00,15.01.2025,17.01.2025,02.01.2025
GScERBSE ,GSc,Erbse ,1.00,15.12.2024,15.01.2025,02.01.2025
GScERBSE ,GSc,Erbse ,5.00,16.01.2025,23.01.2025,02.01.2025
GScMAIRÜBE ,GSc,Mairübe ,7.00,15.12.2024,14.01.2025,02.01.2025
GScMAIRÜBE ,GSc,Mairübe ,1.00,15.01.2025,31.01.2025,02.01.2025
GScRADIESCHEN ,GSc,Radieschen ,3.00,15.12.2024,15.01.2025,02.01.2025
GScRADIESCHEN ,GSc,Radieschen ,9.00,16.01.2025,18.01.2025,02.01.2025
GScSALAT ,GSc,Salat ,10.00,15.12.2024,15.01.2025,02.01.2025
GScSALAT ,GSc,Salat ,8.00,16.01.2025,20.01.2025,02.01.2025
GSt,G,Starkzehrer,9.00,15.12.2024,15.01.2025,02.01.2025
GSt,G,Starkzehrer,8.00,16.01.2025,28.01.2025,02.01.2025
GStANDENBEERE ,GSt,Andenbeere ,6.00,15.12.2024,14.01.2025,02.01.2025
GStANDENBEERE ,GSt,Andenbeere ,9.00,15.01.2025,21.01.2025,02.01.2025
GStAUBERGINE ,GSt,Aubergine ,3.00,15.12.2024,15.01.2025,02.01.2025
GStAUBERGINE ,GSt,Aubergine ,4.00,16.01.2025,30.01.2025,02.01.2025
GStBLUMENKOHL ,GSt,Blumenkohl ,9.00,15.12.2024,15.01.2025,02.01.2025
GStBLUMENKOHL ,GSt,Blumenkohl ,3.00,16.01.2025,30.01.2025,02.01.2025
GStBROKKOLI ,GSt,Brokkoli ,2.00,15.12.2024,15.01.2025,02.01.2025
GStBROKKOLI ,GSt,Brokkoli ,1.00,16.01.2025,24.01.2025,02.01.2025
GStCHINAKOHL ,GSt,Chinakohl ,3.00,15.12.2024,14.01.2025,02.01.2025
GStCHINAKOHL ,GSt,Chinakohl ,6.00,15.01.2025,22.01.2025,02.01.2025
GStGRÜNKOHL ,GSt,Grünkohl ,10.00,15.12.2024,14.01.2025,02.01.2025
GStGRÜNKOHL ,GSt,Grünkohl ,8.00,15.01.2025,16.01.2025,02.01.2025
GStGURKE ,GSt,Gurke ,4.00,15.12.2024,14.01.2025,02.01.2025
GStGURKE ,GSt,Gurke ,2.00,15.01.2025,30.01.2025,02.01.2025
GStKÜRBIS ,GSt,Kürbis ,8.00,15.12.2024,15.01.2025,02.01.2025
GStKÜRBIS ,GSt,Kürbis ,1.00,16.01.2025,22.01.2025,02.01.2025
GStLAUCH ,GSt,Lauch ,3.00,15.12.2024,15.01.2025,02.01.2025
GStLAUCH ,GSt,Lauch ,8.00,16.01.2025,28.01.2025,02.01.2025
GStMELONE ,GSt,Melone ,5.00,15.12.2024,14.01.2025,02.01.2025
GStMELONE ,GSt,Melone ,4.00,15.01.2025,31.01.2025,02.01.2025
GStPALMKOHL ,GSt,Palmkohl ,7.00,15.12.2024,15.01.2025,02.01.2025
