KatID,OberKatID,Name,Rabatt,Von,Bis,Festlegung,Stand
G,,Gemüse,3.00,15.02.2025,16.02.2025,10.01.2025,15.01.2025
G,,Gemüse,2.00,01.03.2025,16.03.2025,10.01.2025,01.02.2025
G,,Gemüse,2.00,17.03.2025,28.03.2025,10.01.2025,01.02.2025
GMi,G,Mittelzehrer,10.00,16.02.2025,16.02.2025,10.01.2025,15.01.2025
GMi,G,Mittelzehrer,3.00,01.03.2025,15.03.2025,02.01.2025,01.02.2025
GMi,G,Mittelzehrer,8.00,16.03.2025,30.03.2025,20.01.2025,01.02.2025
GMiAMARANTH ,GMi,Amaranth ,4.00,16.02.2025,19.02.2025,10.01.2025,15.01.2025
GMiAMARANTH ,GMi,Amaranth ,8.00,01.03.2025,15.03.2025,02.01.2025,01.02.2025
GMiAMARANTH ,GMi,Amaranth ,7.00,16.03.2025,28.03.2025,20.01.2025,01.02.2025
GMiBETE ,GMi,Bete ,1.00,15.02.2025,27.02.2025,10.01.2025,15.01.2025
GMiBETE ,GMi,Bete ,4.00,01.03.2025,15.03.2025,10.01.2025,01.02.2025
GMiBETE ,GMi,Bete ,5.00,16.03.2025,28.03.2025,10.01.2025,01.02.2025
GMiCHILI ,GMi,Chili ,9.00,15.02.2025,16.02.2025,10.01.2025,15.01.2025
GMiCHILI ,GMi,Chili ,2.00,01.03.2025,16.03.2025,20.01.2025,01.02.2025
GMiCHILI ,GMi,Chili ,8.00,17.03.2025,17.03.2025,20.01.2025,01.02.2025
GMiFENCHEL ,GMi,Fenchel ,5.00,16.02.2025,19.02.2025,20.01.2025,15.01.2025
GMiFENCHEL ,GMi,Fenchel ,5.00,01.03.2025,15.03.2025,20.01.2025,01.02.2025
GMiFENCHEL ,GMi,Fenchel ,9.00,16.03.2025,22.03.2025,10.01.2025,01.02.2025
GMiKOHLRABI ,GMi,Kohlrabi ,8.00,16.02.2025,25.02.2025,20.01.2025,15.01.2025
GMiKOHLRABI ,GMi,Kohlrabi ,1.00,01.03.2025,16.03.2025,02.01.2025,01.02.2025
GMiKOHLRABI ,GMi,Kohlrabi ,5.00,17.03.2025,17.03.2025,02.01.2025,01.02.2025
GMiLAUCHZWIEBEL ,GMi,Lauchzwiebel ,6.00,15.02.2025,20.02.2025,10.01.2025,15.01.2025
GMiLAUCHZWIEBEL ,GMi,Lauchzwiebel ,5.00,01.03.2025,16.03.2025,10.01.2025,01.02.2025
GMiLAUCHZWIEBEL ,GMi,Lauchzwiebel ,7.00,17.03.2025,18.03.2025,20.01.2025,01.02.2025
GMiMANGOLD ,GMi,Mangold ,7.00,15.02.2025,24.02.2025,02.01.2025,15.01.2025
GMiMANGOLD ,GMi,Mangold ,2.00,01.03.2025,15.03.2025,02.01.2025,01.02.2025
GMiMANGOLD ,GMi,Mangold ,3.00,16.03.2025,27.03.2025,02.01.2025,01.02.2025
GMiMÖHRE ,GMi,Möhre ,3.00,16.02.2025,22.02.2025,20.01.2025,15.01.2025
GMiMÖHRE ,GMi,Möhre ,5.00,01.03.2025,16.03.2025,02.01.2025,01.02.2025
GMiMÖHRE ,GMi,Möhre ,5.00,17.03.2025,25.03.2025,02.01.2025,01.02.2025
GMiPAPRIKA ,GMi,Paprika ,4.00,16.02.2025,27.02.2025,20.01.2025,15.01.2025
GMiPAPRIKA ,GMi,Paprika ,5.00,01.03.2025,15.03.2025,02.01.2025,01.02.2025
GMiPAPRIKA ,GMi,Paprika ,7.00,16.03.2025,24.03.2025,02.01.2025,01.02.2025
GMiPASTINAKE ,GMi,Pastinake ,1.00,15.02.2025,21.02.2025,20.01.2025,15.01.2025
GMiPASTINAKE ,GMi,Pastinake ,3.00,01.03.2025,16.03.2025,20.01.2025,01.02.2025
GMiPASTINAKE ,GMi,Pastinake ,1.00,17.03.2025,23.03.2025,02.01.2025,01.02.2025
GMiPFEFFERONI ,GMi,Pfefferoni ,1.00,16.02.2025,28.02.2025,10.01.2025,15.01.2025
GMiPFEFFERONI ,GMi,Pfefferoni ,8.00,01.03.2025,15.03.2025,10.01.2025,01.02.2025
GMiPFEFFERONI ,GMi,Pfefferoni ,9.00,16.03.2025,20.03.2025,20.01.2025,01.02.2025
GMiRETTICH ,GMi,Rettich ,4.00,16.02.2025,22.02.2025,10.01.2025,15.01.2025
GMiRETTICH ,GMi,Rettich ,8.00,01.03.2025,16.03.2025,10.01.2025,01.02.2025
GMiRETTICH ,GMi,Rettich ,7.00,17.03.2025,17.03.2025,20.01.2025,01.02.2025
GMiSALAT ,GMi,Salat ,4.00,15.02.2025,23.02.2025,02.01.2025,15.01.2025
GMiSALAT ,GMi,Salat ,5.00,01.03.2025,15.03.2025,02.01.2025,01.02.2025
GMiSALAT ,GMi,Salat ,2.00,16.03.2025,18.03.2025,10.01.2025,01.02.2025
GMiSCHWARZWURZEL ,GMi,Schwarzwurzel ,6.00,15.02.2025,28.02.2025,10.01.2025,15.01.2025
GMiSCHWARZWURZEL ,GMi,Schwarzwurzel ,5.00,01.03.2025,15.03.2025,02.01.2025,01.02.2025
GMiSCHWARZWURZEL ,GMi,Schwarzwurzel ,10.00,16.03.2025,20.03.2025,10.01.2025,01.02.2025
GMiSPINAT ,GMi,Spinat ,5.00,15.02.2025,19.02.2025,20.01.2025,15.01.2025
GMiSPINAT ,GMi,Spinat ,4.00,01.03.2025,16.03.2025,20.01.2025,01.02.2025
GMiSPINAT ,GMi,Spinat ,5.00,17.03.2025,30.03.2025,02.01.2025,01.02.2025
GSc,G,Schwachzehrer,6.00,15.02.2025,18.02.2025,02.01.2025,15.01.2025
GSc,G,Schwachzehrer,6.00,01.03.2025,15.03.2025,20.01.2025,01.02.2025
GSc,G,Schwachzehrer,3.00,16.03.2025,18.03.2025,20.01.2025,01.02.2025
GScBOHNE ,GSc,Bohne ,2.00,16.02.2025,24.02.2025,20.01.2025,15.01.2025
GScBOHNE ,GSc,Bohne ,3.00,01.03.2025,16.03.2025,02.01.2025,01.02.2025
GScBOHNE ,GSc,Bohne ,3.00,17.03.2025,24.03.2025,20.01.2025,01.02.2025
GScERBSE ,GSc,Erbse ,6.00,16.02.2025,21.02.2025,02.01.2025,15.01.2025
GScERBSE ,GSc,Erbse ,4.00,01.03.2025,16.03.2025,20.01.2025,01.02.2025
GScERBSE ,GSc,Erbse ,8.00,17.03.2025,22.03.2025,10.01.2025,01.02.2025
GScMAIRÜBE ,GSc,Mairübe ,8.00,16.02.2025,23.02.2025,10.01.2025,15.01.2025
GScMAIRÜBE ,GSc,Mairübe ,9.00,01.03.2025,15.03.2025,20.01.2025,01.02.2025
GScMAIRÜBE ,GSc,Mairübe ,5.00,16.03.2025,30.03.2025,10.01.2025,01.02.2025
GScRADIESCHEN ,GSc,Radieschen ,7.00,16.02.2025,26.02.2025,02.01.2025,15.01.2025
GScRADIESCHEN ,GSc,Radieschen ,3.00,01.03.2025,15.03.2025,10.01.2025,01.02.2025
GScRADIESCHEN ,GSc,Radieschen ,5.00,16.03.2025,17.03.2025,20.01.2025,01.02.2025
GScSALAT ,GSc,Salat ,10.00,16.02.2025,26.02.2025,20.01.2025,15.01.2025
GScSALAT ,GSc,Salat ,1.00,01.03.2025,16.03.2025,02.01.2025,01.02.2025
GScSALAT ,GSc,Salat ,5.00,17.03.2025,24.03.2025,10.01.2025,01.02.2025
