BestellungID;KundeID;AllgLieferAdrID;Bestelldatum;Wunschdatum;Rabatt
1;297;302;30.01.2025;30.01.2025;3,0
2;117;305;05.01.2025;06.01.2025;0,5
3;209;395;01.01.2025;08.01.2025;2,5
4;37;204;09.01.2025;15.01.2025;0,0
5;285;393;07.01.2025;07.01.2025;3,0
6;48;139;03.01.2025;07.01.2025;3,0
7;95;576;12.01.2025;17.01.2025;1,5
8;309;211;12.01.2025;17.01.2025;0,0
9;11;907;03.01.2025;05.01.2025;0,0
10;38;692;08.01.2025;10.01.2025;3,0
11;394;81;03.01.2025;04.01.2025;1,5
12;85;353;15.01.2025;22.01.2025;2,5
13;235;2;19.01.2025;26.01.2025;0,0
14;83;287;20.01.2025;22.01.2025;2,0
15;73;806;14.01.2025;17.01.2025;0,5
16;243;612;29.01.2025;29.01.2025;0,0
17;93;114;11.01.2025;13.01.2025;3,0
18;390;705;15.01.2025;15.01.2025;1,5
19;208;321;16.01.2025;17.01.2025;1,0
20;336;758;08.01.2025;08.01.2025;1,0
21;135;832;20.01.2025;25.01.2025;3,0
22;102;226;15.01.2025;22.01.2025;3,0
23;146;480;03.01.2025;08.01.2025;3,0
24;366;918;08.01.2025;08.01.2025;3,0
25;108;1022;04.01.2025;06.01.2025;0,5
26;295;929;19.01.2025;20.01.2025;2,5
27;78;497;11.01.2025;18.01.2025;2,5
28;367;592;01.01.2025;06.01.2025;0,5
29;50;609;17.01.2025;23.01.2025;2,5
30;190;147;26.01.2025;01.02.2025;2,0
31;321;753;12.01.2025;13.01.2025;3,0
32;326;236;09.01.2025;15.01.2025;1,5
33;367;551;08.01.2025;13.01.2025;1,0
34;143;696;07.01.2025;07.01.2025;2,5
35;75;156;15.01.2025;17.01.2025;1,0
36;105;292;07.01.2025;12.01.2025;0,5
37;335;428;08.01.2025;11.01.2025;0,0
38;237;971;31.01.2025;31.01.2025;1,5
39;389;3;04.01.2025;07.01.2025;2,5
40;113;563;31.01.2025;04.02.2025;2,5
41;310;760;16.01.2025;17.01.2025;2,5
42;102;279;25.01.2025;30.01.2025;2,0
43;87;1027;28.01.2025;30.01.2025;2,0
44;291;301;31.01.2025;03.02.2025;1,5
45;87;18;29.01.2025;29.01.2025;2,0
46;53;88;28.01.2025;01.02.2025;2,0
47;395;602;27.01.2025;29.01.2025;0,0
48;302;721;19.01.2025;20.01.2025;2,5
49;132;485;14.01.2025;16.01.2025;3,0
50;30;265;31.01.2025;02.02.2025;0,5
