BestellungID;PosID;LieferAdrID;LieferDienstID;LieferDatum
3663;7566;191;29;23.01.2025
3663;7567;191;62;27.01.2025
3663;7568;191;35;26.01.2025
3664;7569;920;36;19.01.2025
3665;7570;230;8;28.01.2025
3665;7571;230;50;23.01.2025
3665;7572;230;29;28.01.2025
3666;7573;33;44;27.01.2025
3667;7574;140;80;26.01.2025
3667;7575;140;27;19.01.2025
3668;7576;15;52;28.01.2025
3669;7577;801;53;25.01.2025
3669;7578;801;64;28.01.2025
3669;7579;801;57;28.01.2025
3670;7580;90;56;26.01.2025
3671;7581;919;13;06.02.2025
3672;7582;34;13;04.02.2025
3672;7583;34;33;01.02.2025
3672;7584;34;75;01.02.2025
3673;7585;973;45;26.01.2025
3673;7586;973;39;25.01.2025
3674;7587;975;59;30.01.2025
3674;7588;975;3;27.01.2025
3674;7589;975;64;28.01.2025
3675;7590;107;38;30.01.2025
3675;7591;107;44;27.01.2025
3675;7592;107;6;27.01.2025
3676;7593;801;61;02.02.2025
3677;7594;639;22;03.02.2025
3678;7595;146;37;23.01.2025
3678;7596;146;72;22.01.2025
3679;7597;54;31;01.02.2025
3680;7598;18;74;07.02.2025
3680;7599;18;55;06.02.2025
3680;7600;18;76;06.02.2025
3681;7601;416;78;28.01.2025
3681;7602;416;39;30.01.2025
3681;7603;416;25;29.01.2025
3682;7604;196;16;02.02.2025
3682;7605;196;46;02.02.2025
3682;7606;196;58;05.02.2025
3683;7607;287;54;01.02.2025
3684;7608;12;64;31.01.2025
3685;7609;133;18;28.01.2025
3685;7610;133;8;25.01.2025
3686;7611;264;73;30.01.2025
3686;7612;264;80;25.01.2025
3687;7613;838;41;06.02.2025
3688;7614;121;67;04.02.2025
3688;7615;121;62;04.02.2025
3689;7616;555;45;02.02.2025
3689;7617;555;17;28.01.2025
3689;7618;555;16;27.01.2025
3690;7619;18;6;01.02.2025
3690;7620;18;6;29.01.2025
3690;7621;18;55;01.02.2025
3691;7622;971;71;20.01.2025
3691;7623;971;62;24.01.2025
3692;7624;310;80;28.01.2025
3692;7625;310;10;27.01.2025
3692;7626;310;82;02.02.2025
3693;7627;645;22;01.02.2025
3693;7628;645;33;05.02.2025
3694;7629;850;52;29.01.2025
3694;7630;850;44;26.01.2025
3695;7631;957;9;29.01.2025
3695;7632;957;59;02.02.2025
3696;7633;30;41;25.01.2025
3696;7634;30;65;26.01.2025
3697;7635;199;56;04.02.2025
3697;7636;199;59;03.02.2025
3697;7637;199;48;04.02.2025
3698;7638;171;40;08.02.2025
3699;7639;196;55;17.01.2025
3699;7640;196;20;16.01.2025
3700;7641;942;54;04.02.2025
3701;7642;355;71;01.02.2025
3701;7643;355;28;31.01.2025
3701;7644;355;46;06.02.2025
3702;7645;83;80;23.01.2025
3703;7646;433;24;06.02.2025
3704;7647;152;34;07.02.2025
3704;7648;152;5;06.02.2025
3704;7649;152;6;05.02.2025
3705;7650;850;24;19.01.2025
3705;7651;850;25;21.01.2025
3706;7652;545;25;10.02.2025
3706;7653;545;18;11.02.2025
3707;7654;951;23;07.02.2025
3707;7655;951;69;07.02.2025
3708;7656;98;4;21.01.2025
3709;7657;206;8;27.01.2025
3709;7658;206;2;25.01.2025
3710;7659;136;11;31.01.2025
3710;7660;136;44;02.02.2025
3710;7661;136;6;28.01.2025
3711;7662;935;78;03.02.2025
3711;7663;935;44;28.01.2025
3711;7664;935;71;01.02.2025
3712;7665;233;42;29.01.2025
3712;7666;233;39;26.01.2025
3713;7667;936;16;31.01.2025
3714;7668;429;71;03.02.2025
3715;7669;130;45;05.02.2025
3715;7670;130;31;02.02.2025
3716;7671;153;15;06.02.2025
3716;7672;153;51;03.02.2025
3717;7673;139;20;30.01.2025
3717;7674;139;74;26.01.2025
3717;7675;139;51;23.01.2025
3718;7676;344;25;30.01.2025
3718;7677;344;45;26.01.2025
3718;7678;344;67;27.01.2025
3719;7679;44;81;22.01.2025
3720;7680;24;34;26.01.2025
3721;7681;936;45;02.02.2025
3722;7682;410;40;28.01.2025
3722;7683;410;23;04.02.2025
3723;7684;417;14;29.01.2025
3723;7685;417;17;01.02.2025
3723;7686;417;18;29.01.2025
3724;7687;92;34;28.01.2025
3724;7688;92;36;27.01.2025
3724;7689;92;50;25.01.2025
3725;7690;819;11;01.02.2025
3725;7691;819;71;05.02.2025
3726;7692;336;79;06.02.2025
3727;7693;802;77;07.02.2025
3727;7694;802;78;04.02.2025
3728;7695;53;58;23.01.2025
3728;7696;53;32;26.01.2025
3728;7697;53;12;20.01.2025
3729;7698;48;82;02.02.2025
3730;7699;87;5;26.01.2025
3731;7700;839;44;06.02.2025
3731;7701;839;38;03.02.2025
3732;7702;366;16;26.01.2025
3733;7703;184;80;01.02.2025
3734;7704;814;58;28.01.2025
3735;7705;287;26;30.01.2025
3736;7706;621;38;29.01.2025
3736;7707;621;78;29.01.2025
3736;7708;621;16;01.02.2025
3737;7709;258;18;07.02.2025
3737;7710;258;34;02.02.2025
3737;7711;258;29;04.02.2025
3738;7712;218;50;27.01.2025
3739;7713;182;15;02.02.2025
3740;7714;14;80;06.02.2025
3741;7715;123;9;01.02.2025
3742;7716;179;3;04.02.2025
3743;7717;971;82;26.01.2025
3743;7718;971;67;30.01.2025
3744;7719;918;82;21.01.2025
3745;7720;931;15;28.01.2025
3745;7721;931;21;02.02.2025
3745;7722;931;36;04.02.2025
3746;7723;948;80;07.02.2025
3747;7724;96;61;24.01.2025
3748;7725;342;4;30.01.2025
3748;7726;342;8;25.01.2025
3749;7727;829;2;08.02.2025
3749;7728;829;31;09.02.2025
3750;7729;140;28;30.01.2025
3751;7730;149;28;08.02.2025
3752;7731;965;47;01.02.2025
3752;7732;965;79;01.02.2025
3752;7733;965;29;02.02.2025
3753;7734;528;76;28.01.2025
3753;7735;528;1;26.01.2025
3753;7736;528;9;23.01.2025
3754;7737;975;68;27.01.2025
3754;7738;975;72;23.01.2025
3754;7739;975;62;23.01.2025
3755;7740;561;47;31.01.2025
3756;7741;824;9;22.01.2025
3756;7742;824;18;25.01.2025
3757;7743;257;8;23.01.2025
3758;7744;101;55;29.01.2025
3758;7745;101;60;31.01.2025
3759;7746;105;77;23.01.2025
3759;7747;105;65;26.01.2025
3760;7748;842;37;09.02.2025
3760;7749;842;62;06.02.2025
